ticker,month,monthly_return_percentage
KARW.JK,2023-05,-10.16949152542373
KARW.JK,2023-06,5.555555555555555
KARW.JK,2023-07,7.017543859649122
KARW.JK,2023-08,6.896551724137931
KARW.JK,2023-09,-9.67741935483871
KARW.JK,2023-10,0.0
KARW.JK,2023-11,-9.090909090909092
KARW.JK,2023-12,-1.9607843137254901
SDMU.JK,2023-01,-2.857142857142857
SDMU.JK,2023-02,-8.823529411764707
SDMU.JK,2023-03,-3.225806451612903
SDMU.JK,2023-04,-1.7241379310344827
SDMU.JK,2023-05,-7.017543859649122
SDMU.JK,2023-06,-3.8461538461538463
SDMU.JK,2023-07,0.0
SDMU.JK,2023-08,0.0
SDMU.JK,2023-09,0.0
SDMU.JK,2023-10,0.0
SDMU.JK,2023-11,0.0
SDMU.JK,2023-12,0.0
TOYS.JK,2023-01,-5.714285714285714
TOYS.JK,2023-02,2.9850746268656714
TOYS.JK,2023-03,-19.402985074626866
TOYS.JK,2023-04,-1.8867924528301887
TOYS.JK,2023-05,3.8461538461538463
TOYS.JK,2023-06,-3.7037037037037033
TOYS.JK,2023-07,1.9607843137254901
TOYS.JK,2023-08,-1.9230769230769231
TOYS.JK,2023-09,0.0
TOYS.JK,2023-10,0.0
TOYS.JK,2023-11,0.0
TOYS.JK,2023-12,0.0
PWON.JK,2023-01,-1.3215859030837005
PWON.JK,2023-02,3.587443946188341
PWON.JK,2023-03,-2.1551724137931036
PWON.JK,2023-04,5.6521739130434785
PWON.JK,2023-05,-3.3057851239669422
PWON.JK,2023-06,1.6666666666666667
PWON.JK,2023-07,-2.834008097165992
PWON.JK,2023-08,-5.857740585774058
PWON.JK,2023-09,-3.0973451327433628
PWON.JK,2023-10,-8.67579908675799
PWON.JK,2023-11,5.1020408163265305
PWON.JK,2023-12,9.134615384615383
ESTA.JK,2023-01,-44.6927374301676
ESTA.JK,2023-02,-20.2020202020202
ESTA.JK,2023-03,7.6923076923076925
ESTA.JK,2023-04,-1.1764705882352942
ESTA.JK,2023-05,45.23809523809524
ESTA.JK,2023-06,-31.967213114754102
ESTA.JK,2023-07,-3.571428571428571
ESTA.JK,2023-08,4.819277108433735
ESTA.JK,2023-09,0.0
ESTA.JK,2023-10,-3.571428571428571
ESTA.JK,2023-11,-7.4074074074074066
ESTA.JK,2023-12,40.54054054054054
BIPP.JK,2023-01,-1.9607843137254901
BIPP.JK,2023-02,0.0
BIPP.JK,2023-03,0.0
BIPP.JK,2023-04,0.0
BIPP.JK,2023-05,0.0
BIPP.JK,2023-06,0.0
BIPP.JK,2023-07,0.0
BIPP.JK,2023-08,0.0
BIPP.JK,2023-09,0.0
BIPP.JK,2023-10,0.0
BIPP.JK,2023-11,0.0
BIPP.JK,2023-12,0.0
PSAB.JK,2023-01,14.814814814814813
PSAB.JK,2023-02,-16.666666666666664
PSAB.JK,2023-03,-5.714285714285714
PSAB.JK,2023-04,2.0618556701030926
PSAB.JK,2023-05,-10.309278350515463
